Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,_Matches,Season,Squad
Boubacar Traoré,ml MLI,MF,21-211,4.3,125,122,0,0,0,0,1,0,0,0,0,0,97,3,1,Matches,2022-2023,Wolverhampton Wanderers
Toti Gomes,pt POR,DF,24-062,3.4,173,169,4,2,0,2,1,2,0,0,0,0,147,0,1,Matches,2022-2023,Wolverhampton Wanderers
Leander Dendoncker,be BEL,MF,27-338,2.4,99,96,3,3,0,2,1,0,0,0,0,0,86,0,5,Matches,2022-2023,Wolverhampton Wanderers
Morgan Gibbs-White,eng ENG,"FW,MF",23-051,2.0,95,88,7,2,0,1,8,1,4,0,3,0,75,0,2,Matches,2022-2023,Wolverhampton Wanderers
Joseph Hodge,ie IRL,MF,20-186,1.9,87,83,2,0,0,0,1,2,0,0,0,0,69,2,3,Matches,2022-2023,Wolverhampton Wanderers
João Gomes,br BRA,"MF,FW",22-035,1.8,96,92,3,2,0,1,1,0,0,0,0,0,73,1,5,Matches,2022-2023,Wolverhampton Wanderers
Sasa Kalajdzic,at AUT,FW,25-255,0.5,4,4,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches,2022-2023,Wolverhampton Wanderers
Chem Campbell,wls WAL,"FW,MF",20-079,0.8,32,31,1,0,0,0,4,0,1,1,0,0,23,0,1,Matches,2022-2023,Wolverhampton Wanderers
Dexter Lembikisa,jm JAM,DF,19-135,0.3,13,12,1,0,0,0,1,1,0,0,0,0,10,0,2,Matches,2022-2023,Wolverhampton Wanderers
Connor Ronan,ie IRL,MF,25-013,0.0,4,3,1,1,0,0,1,0,0,0,0,0,3,0,0,Matches,2022-2023,Wolverhampton Wanderers
Squad Total,,,27.3,28.0,13665,12386,1229,310,33,110,490,505,134,52,52,2,10910,50,266,,2022-2023,Wolverhampton Wanderers
Opponent Total,,,27.1,28.0,13594,12282,1286,350,44,119,547,558,143,71,46,4,10844,26,254,,2022-2023,Wolverhampton Wanderers
Illan Meslier,fr FRA,GK,23-017,27.0,839,556,280,66,0,0,0,0,0,0,0,0,528,3,2,Matches,2022-2023,Leeds United
Robin Koch,de GER,DF,26-245,25.5,1173,1137,33,33,2,4,1,0,0,0,0,0,904,3,21,Matches,2022-2023,Leeds United
Tyler Adams,us USA,MF,24-033,24.0,1343,1271,72,58,1,2,2,14,0,0,0,0,1108,0,24,Matches,2022-2023,Leeds United
Brenden Aaronson,us USA,"MF,FW",22-148,21.6,661,596,65,19,6,0,56,5,33,15,12,1,491,0,19,Matches,2022-2023,Leeds United
Jack Harrison,eng ENG,"FW,MF",26-119,20.4,789,685,101,32,4,7,130,14,54,22,20,3,496,3,40,Matches,2022-2023,Leeds United
Marc Roca,es ESP,MF,26-113,18.0,941,888,50,29,0,7,41,3,17,9,6,0,726,3,14,Matches,2022-2023,Leeds United
Pascal Struijk,nl NED,DF,23-220,18.7,1081,842,234,15,0,2,17,219,0,0,0,0,852,5,24,Matches,2022-2023,Leeds United
Rodrigo,es ESP,"FW,MF",32-013,14.9,405,364,38,0,4,8,13,5,1,0,0,0,284,3,7,Matches,2022-2023,Leeds United
Luke Ayling,eng ENG,DF,31-206,13.8,669,533,131,13,0,9,32,118,0,0,0,0,470,5,24,Matches,2022-2023,Leeds United
Rasmus Nissen,dk DEN,DF,25-251,13.4,716,553,161,7,0,0,27,154,0,0,0,0,499,2,26,Matches,2022-2023,Leeds United
Liam Cooper,sct SCO,DF,31-201,12.3,609,585,24,24,0,4,0,0,0,0,0,0,480,0,2,Matches,2022-2023,Leeds United
Degnand Gnonto,it ITA,"FW,MF",19-134,11.8,409,386,19,1,4,0,35,7,10,2,1,0,287,4,31,Matches,2022-2023,Leeds United
Patrick Bamford,eng ENG,FW,29-195,10.6,215,190,24,0,0,0,1,0,0,0,0,0,156,1,7,Matches,2022-2023,Leeds United
Crysencio Summerville,nl NED,FW,21-140,11.3,327,320,5,1,1,1,14,1,3,0,0,0,243,2,12,Matches,2022-2023,Leeds United
Maximilian Wöber,at AUT,DF,25-043,8.8,430,413,16,9,0,0,1,7,0,0,0,0,311,1,6,Matches,2022-2023,Leeds United
Luis Sinisterra,co COL,FW,23-275,6.0,220,217,3,0,2,4,4,3,0,0,0,0,181,0,6,Matches,2022-2023,Leeds United
Junior Firpo,es ESP,DF,26-209,8.2,374,304,69,6,0,1,8,63,0,0,0,0,287,1,9,Matches,2022-2023,Leeds United
Diego Llorente,es ESP,DF,29-215,7.2,429,417,11,10,0,4,1,0,0,0,0,0,356,1,2,Matches,2022-2023,Leeds United
Weston McKennie,us USA,MF,24-203,6.4,279,268,10,6,2,3,3,4,0,0,0,0,224,1,7,Matches,2022-2023,Leeds United
Sam Greenwood,eng ENG,"MF,FW",21-052,3.8,162,126,36,13,0,1,36,1,22,11,11,0,99,0,1,Matches,2022-2023,Leeds United
Daniel James,wls WAL,FW,25-129,2.2,40,40,0,0,0,0,6,0,0,0,0,0,24,0,4,Matches,2022-2023,Leeds United
Adam Forshaw,eng ENG,MF,31-162,1.8,65,61,4,2,0,0,4,0,2,1,1,0,54,0,1,Matches,2022-2023,Leeds United
Joe Gelhardt,eng ENG,FW,20-319,2.4,67,62,3,0,1,0,1,0,0,0,0,0,43,2,4,Matches,2022-2023,Leeds United
Georginio Rutter,fr FRA,"FW,MF",20-333,2.1,42,40,1,0,1,0,0,0,0,0,0,0,18,1,4,Matches,2022-2023,Leeds United
Cody Drameh,eng ENG,DF,21-101,0.8,38,31,7,1,0,0,1,6,0,0,0,0,30,0,1,Matches,2022-2023,Leeds United
Mateusz Klich,pl POL,"MF,FW",32-279,3.1,148,139,9,2,0,0,8,4,3,1,1,0,108,0,7,Matches,2022-2023,Leeds United
Mateo Fernández,es ESP,"FW,MF",19-151,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,2022-2023,Leeds United
Darko Gyabi,eng ENG,FW,19-029,0.1,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches,2022-2023,Leeds United
Squad Total,,,25.7,27.0,12478,11031,1406,347,28,57,442,628,145,61,52,4,9265,41,305,,2022-2023,Leeds United
Opponent Total,,,27.3,27.0,13305,11871,1381,357,43,106,449,627,124,57,46,5,10167,53,316,,2022-2023,Leeds United
James Tarkowski,eng ENG,DF,30-120,28.0,1304,1253,44,40,3,16,0,3,0,0,0,0,1069,7,4,Matches,2022-2023,Everton
Alex Iwobi,ng NGA,"MF,FW",26-320,27.5,1156,1107,42,3,11,13,70,20,13,11,1,0,883,7,36,Matches,2022-2023,Everton
Jordan Pickford,eng ENG,GK,29-012,27.0,961,615,343,109,1,3,0,0,0,0,0,0,568,3,1,Matches,2022-2023,Everton
Vitaliy Mykolenko,ua UKR,"DF,MF",23-294,23.8,1092,878,207,9,1,2,47,196,2,1,1,0,829,7,24,Matches,2022-2023,Everton
Amadou Onana,be BEL,MF,21-215,22.9,797,788,6,4,3,6,4,1,0,0,0,0,659,3,5,Matches,2022-2023,Everton
Demarai Gray,eng ENG,"FW,MF",26-264,22.5,725,576,149,48,2,8,149,6,66,45,20,0,498,0,32,Matches,2022-2023,Everton
Conor Coady,eng ENG,DF,30-022,21.9,1149,1110,34,30,1,9,1,3,0,0,0,0,972,5,1,Matches,2022-2023,Everton
Idrissa Gana Gueye,sn SEN,MF,33-174,19.9,910,893,13,12,1,4,6,1,0,0,0,0,771,4,18,Matches,2022-2023,Everton
Dwight McNeil,eng ENG,"FW,MF",23-117,17.8,630,552,73,25,3,4,120,10,38,34,1,0,428,5,37,Matches,2022-2023,Everton
Séamus Coleman,ie IRL,DF,34-159,16.1,671,528,143,10,0,3,14,133,0,0,0,0,511,0,18,Matches,2022-2023,Everton
Anthony Gordon,eng ENG,FW,22-023,12.2,280,272,7,0,1,1,25,1,2,2,0,0,193,1,10,Matches,2022-2023,Everton
Nathan Patterson,sct SCO,"DF,MF",21-154,11.0,517,399,117,5,1,0,29,112,0,0,0,0,396,1,9,Matches,2022-2023,Everton
Neal Maupay,fr FRA,FW,26-217,10.5,212,190,21,1,0,1,2,2,0,0,0,0,157,1,8,Matches,2022-2023,Everton
Abdoulaye Doucouré,ml MLI,MF,30-077,10.4,369,360,7,0,1,0,4,0,0,0,0,0,291,2,9,Matches,2022-2023,Everton
Dominic Calvert-Lewin,eng ENG,FW,26-003,8.1,139,138,1,0,0,0,2,0,0,0,0,0,86,0,4,Matches,2022-2023,Everton
Ben Godfrey,eng ENG,DF,25-063,5.7,179,152,26,1,0,0,4,25,0,0,0,0,113,1,6,Matches,2022-2023,Everton
Tom Davies,eng ENG,MF,24-262,5.3,206,200,5,4,3,3,2,1,0,0,0,0,151,1,4,Matches,2022-2023,Everton
Michael Keane,eng ENG,DF,30-067,4.3,116,116,0,0,0,0,0,0,0,0,0,0,80,0,4,Matches,2022-2023,Everton
Mason Holgate,eng ENG,"DF,MF",26-148,4.1,155,146,8,5,1,5,1,3,0,0,0,0,111,1,1,Matches,2022-2023,Everton
Yerry Mina,co COL,DF,28-177,2.6,174,163,11,10,0,1,0,1,0,0,0,0,156,0,0,Matches,2022-2023,Everton
Ellis Simms,eng ENG,"FW,MF",22-073,1.3,31,31,0,0,1,0,0,0,0,0,0,0,18,0,0,Matches,2022-2023,Everton
Salomón Rondón,ve VEN,FW,33-184,1.2,29,28,1,0,0,0,0,1,0,0,0,0,22,0,0,Matches,2022-2023,Everton
Asmir Begović,ba BIH,GK,35-272,1.0,30,21,9,1,0,0,0,0,0,0,0,0,21,0,0,Matches,2022-2023,Everton
James Garner,eng ENG,MF,22-006,1.6,79,74,5,0,0,1,6,0,5,4,1,0,59,0,2,Matches,2022-2023,Everton
Dele Alli,eng ENG,MF,26-342,0.4,15,13,2,1,0,0,0,0,0,0,0,0,12,0,0,Matches,2022-2023,Everton
Isaac Price,nir NIR,MF,19-174,0.4,14,14,0,0,0,0,1,0,0,0,0,0,12,0,0,Matches,2022-2023,Everton
Rúben Vinagre,pt POR,"DF,MF",23-344,0.3,24,19,5,1,0,0,2,4,0,0,0,0,15,0,1,Matches,2022-2023,Everton
Thomas Cannon,ie IRL,FW,20-081,0.3,5,4,1,0,0,0,0,0,0,0,0,0,4,0,0,Matches,2022-2023,Everton
Squad Total,,,27.3,28.0,11969,10640,1280,319,34,80,489,523,126,97,24,0,9085,49,234,,2022-2023,Everton
Opponent Total,,,27.1,28.0,15322,13910,1375,319,37,105,567,646,169,74,46,1,12302,37,289,,2022-2023,Everton
Brennan Johnson,wls WAL,"FW,MF",21-300,24.6,394,384,9,0,0,1,48,4,1,1,0,0,227,1,19,Matches,2022-2023,Nottingham Forest
Morgan Gibbs-White,eng ENG,"MF,FW",23-051,22.3,774,641,122,43,14,6,117,5,64,27,31,1,481,11,23,Matches,2022-2023,Nottingham Forest
Remo Freuler,ch SUI,MF,30-338,20.1,753,732,20,17,0,2,5,2,0,0,0,0,600,1,13,Matches,2022-2023,Nottingham Forest
Dean Henderson,eng ENG,GK,26-007,18.0,671,455,214,58,0,0,0,0,0,0,0,0,425,2,0,Matches,2022-2023,Nottingham Forest
Renan Lodi,br BRA,DF,24-345,16.9,686,529,155,32,0,3,54,116,7,4,2,0,480,2,18,Matches,2022-2023,Nottingham Forest
Ryan Yates,eng ENG,MF,25-118,16.6,500,444,54,12,0,5,6,3,0,0,0,0,390,2,11,Matches,2022-2023,Nottingham Forest
Scott McKenna,sct SCO,DF,26-127,16.2,694,660,31,10,0,3,2,21,0,0,0,0,551,3,2,Matches,2022-2023,Nottingham Forest
Joe Worrall,eng ENG,DF,26-068,17.9,933,889,42,26,0,7,3,16,0,0,0,0,742,2,8,Matches,2022-2023,Nottingham Forest
Serge Aurier,ci CIV,DF,30-085,15.9,797,621,174,14,1,0,38,160,0,0,0,0,567,2,24,Matches,2022-2023,Nottingham Forest
Neco Williams,wls WAL,DF,21-340,15.2,689,535,150,23,3,5,76,114,13,7,6,0,447,4,27,Matches,2022-2023,Nottingham Forest
Jesse Lingard,eng ENG,"FW,MF",30-094,10.2,297,271,24,7,1,4,5,8,0,0,0,0,236,2,5,Matches,2022-2023,Nottingham Forest
Steve Cook,eng ENG,DF,31-334,10.6,459,445,13,11,0,6,1,2,0,0,0,0,369,1,2,Matches,2022-2023,Nottingham Forest
Orel Mangala,be BEL,MF,25-001,8.4,315,311,2,2,1,1,5,0,0,0,0,0,253,2,9,Matches,2022-2023,Nottingham Forest
Taiwo Awoniyi,ng NGA,FW,25-219,8.1,124,121,3,0,1,0,3,1,0,0,0,0,90,0,5,Matches,2022-2023,Nottingham Forest
Cheikhou Kouyaté,sn SEN,"MF,DF",33-088,7.8,206,201,4,4,0,1,0,0,0,0,0,0,159,1,5,Matches,2022-2023,Nottingham Forest
Willy Boly,ci CIV,DF,32-044,6.6,240,236,4,3,0,0,0,1,0,0,0,0,181,0,3,Matches,2022-2023,Nottingham Forest
Keylor Navas,cr CRC,GK,36-094,7.0,270,174,94,31,0,0,0,0,0,0,0,0,164,2,0,Matches,2022-2023,Nottingham Forest
Harry Toffolo,eng ENG,DF,27-212,7.1,291,238,53,2,0,1,24,49,2,2,0,0,193,0,10,Matches,2022-2023,Nottingham Forest
Lewis O'Brien,eng ENG,MF,24-156,6.5,214,207,7,4,0,0,4,3,0,0,0,0,166,0,4,Matches,2022-2023,Nottingham Forest
Felipe,br BRA,DF,33-307,5.9,287,281,5,5,0,3,0,0,0,0,0,0,220,1,3,Matches,2022-2023,Nottingham Forest
Jonjo Shelvey,eng ENG,MF,31-020,4.9,252,229,23,19,1,5,10,1,0,0,0,0,189,0,1,Matches,2022-2023,Nottingham Forest
Chris Wood,nz NZL,FW,31-102,4.1,71,71,0,0,1,1,0,0,0,0,0,0,43,0,0,Matches,2022-2023,Nottingham Forest
Emmanuel Dennis,ng NGA,FW,25-124,6.1,148,143,4,0,0,0,8,3,0,0,0,0,100,1,12,Matches,2022-2023,Nottingham Forest
Jack Colback,eng ENG,MF,33-146,5.5,143,139,4,2,0,0,1,1,0,0,0,0,119,0,3,Matches,2022-2023,Nottingham Forest
Moussa Niakhate,fr FRA,DF,27-011,2.8,74,71,3,3,0,0,0,0,0,0,0,0,60,0,1,Matches,2022-2023,Nottingham Forest
Wayne Hennessey,wls WAL,GK,36-054,2.0,56,38,18,3,0,0,0,0,0,0,0,0,45,0,0,Matches,2022-2023,Nottingham Forest
Gustavo Scarpa,br BRA,"MF,FW",29-073,1.8,68,63,5,0,1,2,3,3,1,0,0,0,46,0,5,Matches,2022-2023,Nottingham Forest
Danilo,br BRA,MF,21-324,1.6,46,46,0,0,0,0,0,0,0,0,0,0,31,0,1,Matches,2022-2023,Nottingham Forest
Sam Surridge,eng ENG,FW,24-234,3.1,70,67,2,0,0,0,3,0,0,0,0,0,32,1,2,Matches,2022-2023,Nottingham Forest
André Ayew,gh GHA,FW,33-092,2.5,51,47,4,0,0,0,1,0,1,0,0,0,39,0,0,Matches,2022-2023,Nottingham Forest
Giulian Biancone,fr FRA,DF,22-353,0.2,21,19,2,0,0,0,1,2,0,0,0,0,15,0,0,Matches,2022-2023,Nottingham Forest
Alexander Mighten,eng ENG,FW,20-342,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,2022-2023,Nottingham Forest
Cafú,pt POR,MF,30-021,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,2022-2023,Nottingham Forest
Squad Total,,,27.2,27.0,10597,9311,1245,331,24,56,418,515,89,41,39,1,7663,41,216,,2022-2023,Nottingham Forest
Opponent Total,,,27.7,27.0,15402,14070,1291,318,48,86,587,582,169,65,74,5,12444,41,279,,2022-2023,Nottingham Forest
Danny Ward,wls WAL,GK,29-270,26.0,945,679,261,71,0,4,0,0,0,0,0,0,708,5,2,Matches,2022-2023,Leicester City
Timothy Castagne,be BEL,DF,27-104,25.2,1381,1174,203,12,2,2,48,191,0,0,0,0,1107,4,32,Matches,2022-2023,Leicester City
Harvey Barnes,eng ENG,"MF,FW",25-100,22.6,599,586,10,0,4,1,29,8,0,0,0,0,417,3,23,Matches,2022-2023,Leicester City
Kiernan Dewsbury-Hall,eng ENG,MF,24-194,21.7,1006,980,17,7,7,17,42,2,7,7,0,0,753,9,21,Matches,2022-2023,Leicester City
Wout Faes,be BEL,DF,24-350,20.0,1344,1305,39,33,2,7,0,1,0,0,0,0,1160,0,8,Matches,2022-2023,Leicester City
Youri Tielemans,be BEL,MF,25-316,19.0,1243,1171,68,33,8,6,33,13,15,6,7,0,1021,4,32,Matches,2022-2023,Leicester City
James Maddison,eng ENG,"MF,FW",26-116,18.1,808,709,95,40,6,4,77,3,48,25,16,2,613,4,19,Matches,2022-2023,Leicester City
Daniel Amartey,gh GHA,DF,28-088,16.9,1061,1040,20,15,2,2,0,5,0,0,0,0,970,1,2,Matches,2022-2023,Leicester City
James Justin,eng ENG,DF,25-024,13.9,819,687,130,16,0,4,21,114,0,0,0,0,667,2,19,Matches,2022-2023,Leicester City
Wilfred Ndidi,ng NGA,"MF,DF",26-093,11.9,669,649,20,14,0,4,1,3,0,0,0,0,577,0,10,Matches,2022-2023,Leicester City
Boubakary Soumaré,fr FRA,MF,24-020,10.3,547,543,4,4,1,1,2,0,0,0,0,0,483,0,8,Matches,2022-2023,Leicester City
Jamie Vardy,eng ENG,FW,36-067,14.3,191,173,18,0,1,0,4,0,0,0,0,0,102,0,6,Matches,2022-2023,Leicester City
Patson Daka,zm ZAM,FW,24-161,9.4,192,173,19,0,5,0,4,2,0,0,0,0,127,0,6,Matches,2022-2023,Leicester City
Jonny Evans,nir NIR,DF,35-075,9.0,675,655,19,18,0,2,0,1,0,0,0,0,603,1,4,Matches,2022-2023,Leicester City
Luke Thomas,eng ENG,DF,21-282,7.7,457,355,100,14,3,1,6,86,0,0,0,0,364,2,18,Matches,2022-2023,Leicester City
Kelechi Iheanacho,ng NGA,"FW,MF",26-167,8.3,226,216,8,0,3,3,4,2,2,0,0,0,167,2,10,Matches,2022-2023,Leicester City
Harry Souttar,au AUS,DF,24-148,7.0,395,377,14,12,1,7,0,2,0,0,0,0,329,4,3,Matches,2022-2023,Leicester City
Nampalys Mendy,sn SEN,MF,30-269,6.8,357,348,8,8,0,2,1,0,0,0,0,0,317,1,10,Matches,2022-2023,Leicester City
Tetê,br BRA,FW,23-032,5.0,152,138,11,0,0,1,11,0,1,0,0,1,101,3,8,Matches,2022-2023,Leicester City
Dennis Praet,be BEL,"MF,FW",28-309,6.0,224,213,10,0,2,0,14,3,2,0,0,0,164,1,13,Matches,2022-2023,Leicester City
Victor Bernth Kristiansen,dk DEN,DF,20-093,3.9,196,144,51,2,1,0,11,44,5,4,1,0,127,1,5,Matches,2022-2023,Leicester City
Ayoze Pérez,es ESP,"MF,FW",29-233,4.2,171,156,14,1,5,0,17,1,11,6,5,0,118,1,11,Matches,2022-2023,Leicester City
Ricardo Pereira,pt POR,"DF,MF",29-164,3.1,210,171,38,5,0,0,11,33,0,0,0,0,174,1,8,Matches,2022-2023,Leicester City
Wesley Fofana,fr FRA,DF,22-092,2.0,140,138,1,1,0,0,0,0,0,0,0,0,117,1,3,Matches,2022-2023,Leicester City
Marc Albrighton,eng ENG,"FW,MF",33-121,2.6,148,130,17,1,1,0,28,7,7,1,3,2,89,1,10,Matches,2022-2023,Leicester City
Daniel Iversen,dk DEN,GK,25-243,1.0,36,23,13,3,0,0,0,0,0,0,0,0,22,0,0,Matches,2022-2023,Leicester City
Çağlar Söyüncü,tr TUR,DF,26-300,0.9,49,47,2,2,0,0,0,0,0,0,0,0,39,0,0,Matches,2022-2023,Leicester City
Lewis Brunt,eng ENG,DF,22-133,0.3,21,16,5,0,0,0,0,5,0,0,0,0,17,0,1,Matches,2022-2023,Leicester City
Squad Total,,,27.0,27.0,14262,12996,1215,312,54,68,364,526,98,49,32,5,11453,51,292,,2022-2023,Leicester City
Opponent Total,,,27.1,27.0,14358,13073,1230,314,51,116,478,516,164,95,38,3,11490,55,293,,2022-2023,Leicester City
Declan Rice,eng ENG,MF,24-064,26.0,1573,1514,58,38,2,47,38,2,18,14,1,0,1376,1,20,Matches,2022-2023,West Ham United
Jarrod Bowen,eng ENG,"FW,MF",26-089,25.9,648,562,82,9,5,3,117,3,65,60,0,0,411,4,40,Matches,2022-2023,West Ham United
Łukasz Fabiański,pl POL,GK,37-335,22.6,603,392,208,55,0,2,0,0,0,0,0,0,391,3,0,Matches,2022-2023,West Ham United
Tomáš Souček,cz CZE,MF,28-020,22.2,736,726,10,9,0,6,11,0,0,0,0,0,537,0,21,Matches,2022-2023,West Ham United
Thilo Kehrer,de GER,DF,26-179,18.5,879,788,88,21,0,5,17,66,0,0,0,0,732,3,13,Matches,2022-2023,West Ham United
Aaron Cresswell,eng ENG,DF,33-094,17.5,1109,895,212,30,1,4,105,143,39,3,29,1,882,2,26,Matches,2022-2023,West Ham United
Lucas Paquetá,br BRA,MF,25-204,14.6,700,654,40,12,9,5,17,1,0,0,0,0,552,6,12,Matches,2022-2023,West Ham United
Vladimír Coufal,cz CZE,DF,30-209,15.8,819,637,177,9,0,0,84,168,0,0,0,0,508,5,41,Matches,2022-2023,West Ham United
Kurt Zouma,fr FRA,DF,28-143,15.4,673,648,23,10,0,12,0,2,0,0,0,0,583,2,1,Matches,2022-2023,West Ham United
Saïd Benrahma,dz ALG,"FW,MF",27-221,15.9,549,532,15,0,1,1,52,8,1,1,0,0,421,2,19,Matches,2022-2023,West Ham United
Michail Antonio,jm JAM,FW,32-356,12.5,222,214,8,1,1,1,21,5,0,0,0,0,115,0,8,Matches,2022-2023,West Ham United
Pablo Fornals,es ESP,"FW,MF",27-025,11.5,535,500,33,4,4,8,42,6,15,12,2,0,388,2,15,Matches,2022-2023,West Ham United
Gianluca Scamacca,it ITA,FW,24-077,10.3,177,173,3,0,0,8,1,0,0,0,0,0,118,1,7,Matches,2022-2023,West Ham United
Emerson Palmieri,it ITA,DF,28-228,9.0,416,360,54,3,0,0,26,46,5,1,3,0,328,2,19,Matches,2022-2023,West Ham United
Nayef Aguerd,ma MAR,DF,26-354,9.7,422,407,11,11,0,9,0,0,0,0,0,0,336,4,2,Matches,2022-2023,West Ham United
Ben Johnson,eng ENG,DF,23-054,8.3,461,399,61,7,0,6,14,52,0,0,0,0,339,1,11,Matches,2022-2023,West Ham United
Craig Dawson,eng ENG,DF,32-317,8.0,310,299,9,8,0,2,2,1,0,0,0,0,245,2,3,Matches,2022-2023,West Ham United
Angelo Ogbonna,it ITA,DF,34-300,7.9,228,223,5,5,0,0,0,0,0,0,0,0,185,0,1,Matches,2022-2023,West Ham United
Flynn Downes,eng ENG,MF,24-058,4.4,153,149,4,0,0,1,3,0,0,0,0,0,126,0,4,Matches,2022-2023,West Ham United
Danny Ings,eng ENG,FW,30-239,3.7,44,43,1,0,1,1,0,0,0,0,0,0,27,0,2,Matches,2022-2023,West Ham United
Alphonse Areola,fr FRA,GK,30-020,3.4,92,59,32,2,0,0,0,0,0,0,0,0,67,1,0,Matches,2022-2023,West Ham United
Manuel Lanzini,ar ARG,"MF,FW",30-032,1.7,100,98,2,0,0,0,1,0,0,0,0,0,83,0,2,Matches,2022-2023,West Ham United
Maxwel Cornet,ci CIV,FW,26-173,1.1,31,28,2,0,0,0,2,1,0,0,0,0,21,1,3,Matches,2022-2023,West Ham United
Divin Mubama,eng ENG,FW,18-145,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Matches,2022-2023,West Ham United
Conor Coventry,ie IRL,"MF,FW",22-359,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2022-2023,West Ham United
Squad Total,,,28.7,26.0,11481,10300,1139,235,24,121,553,504,143,91,35,1,8772,42,270,,2022-2023,West Ham United
Opponent Total,,,27.3,26.0,15131,13992,1106,281,55,81,475,459,123,59,52,0,12508,33,217,,2022-2023,West Ham United
Jefferson Lerma,co COL,"MF,DF",28-145,25.3,1083,1041,42,32,3,3,6,8,0,0,0,0,880,0,19,Matches,2022-2023,Bournemouth
Adam Smith,eng ENG,DF,31-324,24.4,952,741,210,17,0,2,29,193,0,0,0,0,722,1,18,Matches,2022-2023,Bournemouth
Philip Billing,dk DEN,"MF,FW",26-281,21.7,684,657,26,13,4,6,25,2,5,3,1,0,520,1,23,Matches,2022-2023,Bournemouth
Marcos Senesi,ar ARG,DF,25-313,20.9,934,875,51,36,0,13,6,14,0,0,0,0,737,8,12,Matches,2022-2023,Bournemouth
Dominic Solanke,eng ENG,"FW,MF",25-186,20.9,325,288,37,0,1,1,6,2,0,0,0,0,221,0,24,Matches,2022-2023,Bournemouth
Chris Mepham,wls WAL,DF,25-134,19.4,766,740,24,17,0,2,0,7,0,0,0,0,628,2,6,Matches,2022-2023,Bournemouth
Lewis Cook,eng ENG,MF,26-044,16.8,655,604,48,30,1,3,36,0,10,10,0,0,515,3,18,Matches,2022-2023,Bournemouth
Neto,br BRA,GK,33-243,16.5,487,296,190,53,0,1,0,0,0,0,0,0,296,1,0,Matches,2022-2023,Bournemouth
Jordan Zemura,zw ZIM,DF,23-125,16.2,594,466,127,8,0,1,18,119,0,0,0,0,423,1,30,Matches,2022-2023,Bournemouth
Marcus Tavernier,eng ENG,"MF,FW",23-362,15.2,525,442,82,20,2,6,78,19,40,22,9,3,359,1,18,Matches,2022-2023,Bournemouth
Kieffer Moore,wls WAL,FW,30-223,12.4,317,295,22,1,0,1,6,0,0,0,0,0,186,0,12,Matches,2022-2023,Bournemouth
Lloyd Kelly,eng ENG,DF,24-164,12.0,582,506,73,20,1,8,6,52,0,0,0,0,463,3,5,Matches,2022-2023,Bournemouth
Ryan Christie,sct SCO,"MF,FW",28-025,11.8,365,351,13,2,3,5,14,1,10,3,3,0,293,1,6,Matches,2022-2023,Bournemouth
Mark Travers,ie IRL,GK,23-305,10.5,324,182,142,32,0,0,0,1,0,0,0,0,244,0,0,Matches,2022-2023,Bournemouth
Jaidon Anthony,eng ENG,"MF,FW",23-108,11.2,419,381,37,9,2,5,33,16,11,7,0,1,307,1,16,Matches,2022-2023,Bournemouth
Jack Stephens,eng ENG,DF,29-051,8.0,243,241,2,2,0,0,2,0,0,0,0,0,192,0,4,Matches,2022-2023,Bournemouth
Dango Ouattara,bf BFA,MF,21-036,7.4,164,161,2,0,1,3,19,2,0,0,0,0,101,1,5,Matches,2022-2023,Bournemouth
Ryan Fredericks,eng ENG,DF,30-160,5.9,220,177,43,1,0,0,15,42,0,0,0,0,149,0,11,Matches,2022-2023,Bournemouth
Joe Rothwell,eng ENG,MF,28-067,5.0,154,138,16,6,2,2,10,1,8,3,4,1,129,0,1,Matches,2022-2023,Bournemouth
Hamed Junior Traorè,ci CIV,"MF,FW",23-031,3.7,138,115,22,6,4,0,31,1,14,9,2,2,85,1,1,Matches,2022-2023,Bournemouth
Jack Stacey,eng ENG,DF,26-347,3.3,126,103,22,0,0,0,10,22,0,0,0,0,72,1,7,Matches,2022-2023,Bournemouth
Ben Pearson,eng ENG,MF,28-074,3.2,134,130,4,3,0,1,0,0,0,0,0,0,108,0,1,Matches,2022-2023,Bournemouth
Antoine Semenyo,gh GHA,"FW,MF",23-071,2.6,47,45,2,0,0,1,1,0,0,0,0,0,30,0,1,Matches,2022-2023,Bournemouth
Siriki Dembélé,ci CIV,"FW,MF",26-193,1.2,47,45,2,0,0,0,3,2,0,0,0,0,37,0,1,Matches,2022-2023,Bournemouth
Junior Stanislas,eng ENG,MF,33-113,0.7,28,27,1,0,0,1,1,0,1,0,0,0,22,0,1,Matches,2022-2023,Bournemouth
